iter	Passed	Remaining
864	8471	1322
865	8476	1311
866	8482	1301
867	8487	1290
868	8493	1280
869	8499	1270
870	8505	1259
871	8520	1250
872	8528	1240
873	8534	1230
874	8540	1220
875	8551	1210
876	8559	1200
877	8564	1190
878	8569	1179
879	8575	1169
880	8581	1159
881	8586	1148
882	8599	1139
883	8605	1129
884	8610	1118
885	8617	1108
886	8623	1098
887	8634	1089
888	8645	1079
889	8650	1069
890	8657	1059
891	8662	1048
892	8669	1038
893	8677	1028
894	8685	1019
895	8691	1008
896	8697	998
897	8707	989
898	8717	979
899	8725	969
900	8731	959
901	8742	949
902	8749	939
903	8757	930
904	8763	919
905	8769	909
906	8775	899
907	8787	890
908	8793	880
909	8800	870
910	8808	860
911	8816	850
912	8822	840
913	8838	831
914	8846	821
915	8854	812
916	8864	802
917	8875	792
918	8883	782
919	8891	773
920	8897	763
921	8913	754
922	8919	744
923	8930	734
924	8946	725
925	8959	715
926	8967	706
927	8974	696
928	8987	686
929	8993	676
930	8998	666
931	9004	656
932	9011	647
933	9021	637
934	9027	627
935	9032	617
936	9037	607
937	9044	597
938	9049	587
939	9054	577
940	9066	568
941	9071	558
942	9076	548
943	9083	538
944	9089	529
945	9096	519
946	9112	509
947	9120	500
948	9127	490
949	9132	480
950	9144	471
951	9150	461
952	9155	451
953	9160	441
954	9167	431
955	9177	422
956	9182	412
957	9188	402
958	9193	393
959	9199	383
960	9204	373
961	9210	363
962	9220	354
963	9226	344
964	9231	334
965	9237	325
966	9244	315
967	9255	305
968	9263	296
969	9268	286
970	9274	276
971	9280	267
972	9286	257
973	9296	248
974	9303	238
975	9311	228
976	9320	219
977	9327	209
978	9346	200
979	9352	190
980	9358	181
981	9368	171
982	9380	162
983	9387	152
984	9395	143
985	9409	133
986	9416	124
987	9423	114
988	9428	104
989	9434	95
990	9446	85
991	9456	76
992	9467	66
993	9475	57
994	9485	47
995	9504	38
996	9515	28
997	9521	19
998	9533	9
999	9539	0
