iter	RMSE
776	1.455100008
777	1.45507884
778	1.455065065
779	1.455051707
780	1.455035741
781	1.455017995
782	1.455006745
783	1.454995098
784	1.454982002
785	1.454973372
786	1.454963447
787	1.454949752
788	1.454942969
789	1.454926039
790	1.45491796
791	1.454907892
792	1.454898087
793	1.454879214
794	1.454855367
795	1.454839829
796	1.454826612
797	1.4548101
798	1.454794017
799	1.454779787
800	1.454766032
801	1.454754967
802	1.454742703
803	1.454725658
804	1.454716927
805	1.454706711
806	1.454697959
807	1.454687184
808	1.454659181
809	1.454637735
810	1.45462112
811	1.454604692
812	1.45458927
813	1.454569016
814	1.454549886
815	1.454516689
816	1.454503027
817	1.454485789
818	1.454465742
819	1.454449867
820	1.454430077
821	1.454415769
822	1.454389476
823	1.454374057
824	1.454361682
825	1.454349514
826	1.454334428
827	1.454326911
828	1.454314936
829	1.454293599
830	1.454281676
831	1.454266983
832	1.454255442
833	1.454242593
834	1.454233668
835	1.454219082
836	1.454215163
837	1.45420402
838	1.454184772
839	1.454153338
840	1.454149528
841	1.454141509
842	1.454124297
843	1.454107775
844	1.454094285
845	1.454068836
846	1.454051884
847	1.454040315
848	1.454026361
849	1.45401718
850	1.454006361
851	1.45398693
852	1.453975994
853	1.453961554
854	1.453947206
855	1.453923851
856	1.453908901
857	1.453891452
858	1.453874855
859	1.453858005
860	1.453850322
861	1.453839127
862	1.453823635
863	1.45380457
864	1.453785812
865	1.453767141
866	1.453751036
867	1.453729168
868	1.453717611
869	1.453700082
870	1.453678973
871	1.45367004
872	1.453650845
873	1.453631585
874	1.453619924
875	1.453606633
876	1.453583541
877	1.453567779
878	1.453560926
879	1.453544397
880	1.453533117
881	1.453523522
882	1.453501944
883	1.453487623
884	1.453468562
885	1.453458191
886	1.453437234
887	1.45342727
888	1.453417485
889	1.453402932
890	1.453395022
891	1.453387894
892	1.453375462
893	1.453355407
894	1.453344932
895	1.453332698
896	1.453322813
897	1.453308681
898	1.453293712
899	1.453267674
900	1.453250797
901	1.4532379
902	1.453228627
903	1.453214734
904	1.453193179
905	1.453180614
906	1.453159678
907	1.453146701
908	1.453137208
909	1.453124633
910	1.453115459
911	1.453100731
912	1.453095524
913	1.453077942
914	1.453054761
915	1.453041535
916	1.453019332
917	1.453009609
918	1.452991005
919	1.452978825
920	1.452952166
921	1.452939644
922	1.452928425
923	1.452911685
924	1.452897788
925	1.452887643
926	1.452875366
927	1.452857856
928	1.452847632
929	1.452822876
930	1.45280668
931	1.452787516
932	1.452774654
933	1.452764448
934	1.452747042
935	1.452731362
936	1.452724069
937	1.452712441
938	1.452701349
939	1.452689401
940	1.452678846
941	1.452666834
942	1.45266054
943	1.452651868
944	1.452636398
945	1.452614244
946	1.452603972
947	1.452589711
948	1.452571711
949	1.452556517
950	1.452543395
951	1.452526883
952	1.452507482
953	1.452493686
954	1.452474435
955	1.452456119
956	1.452438889
957	1.452420869
958	1.452410525
959	1.452386181
960	1.452371309
961	1.452356877
962	1.452339218
963	1.452329598
964	1.452314122
965	1.452298113
966	1.452285558
967	1.452272218
968	1.452258233
969	1.452251724
970	1.452241539
971	1.452227042
972	1.452211046
973	1.452188485
974	1.452179461
975	1.45217218
976	1.452159999
977	1.452141739
978	1.452122116
979	1.452106366
980	1.452094717
981	1.452085676
982	1.452069309
983	1.452059143
984	1.452051686
985	1.452043362
986	1.452028493
987	1.452015901
988	1.451995742
989	1.451985076
990	1.451971687
991	1.451956092
992	1.451946825
993	1.451925605
994	1.451905853
995	1.451892763
996	1.451880805
997	1.451862779
998	1.451844479
999	1.45183399
